date,heure,prix_debut,prix_haut,prix_bas,prix_fin,volume,prix_fin_suiv,direction_up,difference,change 10 points,change 50 points
2012.03.15,00:00,1.30294,1.31184,1.30032,1.3078,75125,1.31735,1,48.6,1,0
2012.03.16,00:00,1.30781,1.31862,1.30484,1.31735,67767,1.32366,1,95.4,1,1
2012.03.19,00:00,1.31783,1.32642,1.31415,1.32366,62310,1.32237,1,58.3,1,1
2012.03.20,00:00,1.32364,1.32512,1.3172,1.32237,66913,1.32118,0,-12.7,1,0
2012.03.21,00:00,1.32236,1.3284,1.3178,1.32118,69661,1.31978,0,-11.8,1,0
2012.03.22,00:00,1.3212,1.3254,1.31343,1.31978,74563,1.3269,0,-14.2,1,0
2012.03.23,00:00,1.31976,1.32916,1.31906,1.3269,69627,1.33569,1,71.4,1,1
2012.03.26,00:00,1.32697,1.33667,1.31919,1.33569,70917,1.33136,1,87.2,1,1
2012.03.27,00:00,1.33571,1.33848,1.33126,1.33136,66055,1.3316,0,-43.5,1,0
2012.03.28,00:00,1.33135,1.3372,1.3277,1.3316,72002,1.33012,1,2.5,0,0
2012.03.29,00:00,1.33159,1.33449,1.32518,1.33012,70964,1.33408,0,-14.7,1,0
2012.03.30,00:00,1.33012,1.33755,1.32934,1.33408,69721,1.33194,1,39.6,1,0
2012.04.02,00:00,1.33595,1.33801,1.32781,1.33194,67560,1.32327,0,-40.1,1,0
2012.04.03,00:00,1.33196,1.3367,1.32128,1.32327,75006,1.31416,0,-86.9,1,1
2012.04.04,00:00,1.32326,1.32383,1.31069,1.31416,80148,1.3065,0,-91,1,1
2012.04.05,00:00,1.31416,1.31636,1.30346,1.3065,70748,1.30911,0,-76.6,1,1
2012.04.06,00:00,1.30649,1.31115,1.30506,1.30911,41799,1.31049,1,26.2,1,0
2012.04.09,00:00,1.31006,1.3133,1.3033,1.31049,48127,1.30812,1,4.3,0,0
2012.04.10,00:00,1.31048,1.31436,1.30538,1.30812,79561,1.31086,0,-23.6,1,0
2012.04.11,00:00,1.30814,1.31564,1.30659,1.31086,75521,1.31865,1,27.2,1,0
2012.04.12,00:00,1.31084,1.32122,1.31018,1.31865,77047,1.30764,1,78.1,1,1
2012.04.13,00:00,1.31867,1.32001,1.30691,1.30764,74017,1.31409,0,-110.3,1,1
2012.04.16,00:00,1.30641,1.31466,1.29945,1.31409,81834,1.31254,1,76.8,1,1
2012.04.17,00:00,1.31408,1.31717,1.30899,1.31254,74113,1.31224,0,-15.4,1,0
2012.04.18,00:00,1.31256,1.31402,1.30577,1.31224,75693,1.3137,0,-3.2,0,0
2012.04.19,00:00,1.31224,1.31648,1.30697,1.3137,79245,1.3217,1,14.6,1,0
2012.04.20,00:00,1.31369,1.32262,1.31284,1.3217,71359,1.31555,1,80.1,1,1
2012.04.23,00:00,1.32005,1.32098,1.31042,1.31555,69040,1.31962,0,-45,1,0
2012.04.24,00:00,1.31553,1.32174,1.31445,1.31962,68801,1.32162,1,40.9,1,0
2012.04.25,00:00,1.3196,1.32356,1.3173,1.32162,72109,1.32192,1,20.2,1,0
2012.04.26,00:00,1.32161,1.32623,1.31983,1.32192,68171,1.32502,1,3.1,0,0
2012.04.27,00:00,1.32194,1.32695,1.31572,1.32502,77124,1.32382,1,30.8,1,0
2012.04.30,00:00,1.32362,1.3266,1.32078,1.32382,62940,1.32359,1,2,0,0
2012.05.01,00:00,1.32383,1.32828,1.32039,1.32359,50276,1.31579,0,-2.4,0,0
2012.05.02,00:00,1.32358,1.32408,1.3123,1.31579,68243,1.31519,0,-77.9,1,1
2012.05.03,00:00,1.31578,1.31795,1.30963,1.31519,62745,1.30832,0,-5.9,0,0
2012.05.04,00:00,1.3152,1.31775,1.30799,1.30832,63189,1.30499,0,-68.8,1,1
2012.05.07,00:00,1.30127,1.3064,1.29546,1.30499,77221,1.30047,1,37.2,1,0
2012.05.08,00:00,1.305,1.30645,1.29821,1.30047,78316,1.29282,0,-45.3,1,0
2012.05.09,00:00,1.30048,1.30068,1.2911,1.29282,85510,1.29351,0,-76.6,1,1
2012.05.10,00:00,1.29282,1.29783,1.29237,1.29351,76588,1.29162,1,6.9,0,0
